order_id	isbn	sku	domain	currency
1	9781170561508	AAV	UK	USD
2	9781848794610	AA2	US	EUR
3	9781432756376	AAV	CA	NZD
4	9781174673962	AAV	FR	GBP
5	9783125332645	LIB	DE	USD
6	9781423437666	AMS	US	NZD
7	9780903521819	AAG	DE	GBP
8	9781244754386	AAV	CA	GBP
9	9781164063506	APC	UK	USD
10	9781149369685	AAV	CA	EUR
11	9781142077396	APC	FR	EUR
12	9781174350108	AAV	US	NZD
13	9781146089401	AAV	DE	NZD
14	9781120373212	APC	CA	NZD
15	9781241550349	AAV	UK	GBP
16	9781113963239	AAV	DE	NZD
17	9781167859953	APC	CA	EUR
18	9781142314941	APC	UK	NZD
19	9781176992412	APC	DE	NZD
20	9781167076602	APC	UK	NZD
21	9781120961563	APC	US	GBP
22	9780548805589	APC	DE	EUR
23	9781141957965	AAV	CA	GBP
24	9781178269888	AAV	US	EUR
25	9781770099227	AAO	FR	EUR
26	9781166791148	APC	UK	EUR
27	9781146573962	APC	US	USD
28	9781581105025	AAN	CA	GBP
29	9783718649730	AAV	CA	USD
30	9781170510513	APC	DE	USD
31	9783034010498	KNV	DE	USD
32	9781178217278	APC	CA	GBP
33	9781242912764	AAV	CA	GBP
34	9781558497269	AAS	DE	USD
35	9780071452205	AAC	UK	EUR
36	9781247178226	AAV	US	NZD
37	9781117784588	AAV	DE	NZD
38	9781143260988	AAV	UK	NZD
39	9781174676789	APC	FR	NZD
40	9780559951534	AAV	FR	USD
41	9781171818274	APC	FR	GBP
42	9781178844504	AAV	UK	USD
43	9781247818894	AAV	UK	NZD
44	9780548343371	APC	UK	USD
45	9780615482156	AAC	CA	NZD
46	9780719916335	AAO	CA	EUR
47	9781160330503	APC	DE	USD
48	9781117485768	AAV	FR	NZD
49	9780415305488	AA6	FR	GBP
50	9781144079442	AAV	DE	USD
51	9781147519570	APC	CA	NZD
52	9781176458628	APC	CA	USD
53	9780789318565	ASF	CA	GBP
54	9781179658360	AAV	CA	USD
55	9781271505487	AAV	DE	GBP
56	9781115924450	APC	DE	EUR
57	9781120012043	APC	DE	EUR
58	9781147565546	APC	FR	GBP
59	9780765360922	AAS	CA	EUR
60	9781434336798	AAV	US	NZD
61	9781146390613	AAV	FR	USD
62	9781141485772	APC	FR	GBP
63	9780195145939	APC	CA	GBP
64	9781144065377	AAV	US	USD
65	9781426495724	AAV	CA	GBP
66	9780123785855	KNV	DE	GBP
67	9781174350979	AAV	UK	GBP
68	9781161632071	APC	DE	GBP
69	9780956869203	AAW	FR	GBP
70	9780749694333	AA6	US	GBP
71	9781173582494	APC	UK	USD
72	9781849040907	AAU	US	USD
73	9781142803865	AAV	DE	GBP
74	9781426437694	AAV	DE	GBP
75	9781161580082	APC	DE	NZD
76	9781247216874	AAV	FR	EUR
77	9781143889745	AAV	CA	GBP
78	9780826105653	AAS	US	GBP
79	9780571517879	AAC	DE	NZD
80	9781144828446	APC	DE	NZD
81	9781174663710	AAV	CA	USD
82	9781145419315	APC	DE	GBP
83	9781177237888	AAV	FR	GBP
84	9780230248113	APC	CA	EUR
85	9780435047412	AAK	US	EUR
86	9780554385570	APC	FR	GBP
87	9780548031711	APC	US	NZD
88	9781115414494	AAV	DE	EUR
89	9780759670099	APC	US	GBP
90	9781172618958	APC	FR	USD
91	9780335217533	AA3	FR	EUR
92	9781116695373	AAV	US	EUR
93	9781142317874	APC	DE	GBP
94	9783825802868	LIB	US	GBP
95	9780306402333	APC	DE	GBP
96	9780631231332	AAZ	US	EUR
97	9783843360562	AAV	US	GBP
98	9781170142417	AAV	DE	USD
99	9780470997796	AAC	DE	GBP
100	9780312355777	APC	US	NZD
101	9781177945875	APC	US	USD
102	9781146154413	APC	UK	NZD
103	9780310722533	AAC	UK	USD
104	9780071606028	AAW	DE	GBP
105	9780521153751	APC	UK	EUR
106	9780415306607	APC	US	EUR
107	9781248276402	AAV	FR	EUR
108	9780470997802	AAZ	UK	GBP
109	9781175744753	AAV	CA	GBP
110	9781423468646	AAS	FR	GBP
111	9780548912164	APC	CA	NZD
112	9781141646760	APC	FR	EUR
113	9781161011562	APC	FR	EUR
114	9781176685857	AAV	UK	NZD
115	9789948142492	AAC	FR	EUR
116	9781243391544	AAV	DE	EUR
117	9781146922289	AAV	CA	NZD
118	9781115489973	APC	US	GBP
119	9781906217754	AAW	CA	EUR
120	9781608316304	AAS	UK	GBP
121	9780521577786	APC	UK	USD
122	9781847530646	AAV	UK	EUR
123	9781161962246	APC	UK	EUR
124	9781141972937	AAV	CA	GBP
125	9780136039129	AAE	FR	EUR
126	9781146021890	AAV	DE	EUR
127	9781171666868	AAV	FR	EUR
128	9780536776143	AAC	DE	USD
129	9780123819604	LIB	US	USD
130	9781115660174	AAV	DE	NZD
131	9781243989598	AAV	UK	EUR
132	9781162986340	APC	UK	GBP
133	9781143318139	AAV	CA	USD
134	9781160212564	APC	DE	EUR
135	9780559425141	APC	DE	USD
136	9789058506726	AAR	CA	NZD
137	9781176035225	AAV	CA	NZD
138	9781406798371	AAV	US	USD
139	9781117974729	APC	FR	EUR
140	9781140345695	AAV	FR	USD
141	9781179149677	AAV	UK	NZD
142	9780874367591	APC	DE	EUR
143	9781145188846	AAV	UK	NZD
144	9780431192987	AAU	US	GBP
145	9781849162944	LIB	US	USD
146	9781143053269	APC	FR	NZD
147	9781420846737	AAV	FR	NZD
148	9781160488624	APC	DE	EUR
149	9781141190010	AAV	US	USD
150	9781173258139	APC	CA	GBP
151	9781607912583	AAV	UK	GBP
152	9781116528763	AAV	FR	NZD
153	9781178142235	AAV	DE	USD
154	9781170248539	AAV	US	NZD
155	9781146553285	AAV	CA	NZD
156	9783518289617	LIB	CA	GBP
157	9780766179905	APC	DE	EUR
158	9780205718115	AAC	US	NZD
159	9781143960079	AAV	UK	USD
160	9780399528941	AAS	FR	NZD
161	9781144667274	APC	DE	GBP
162	9781146705981	AAV	DE	USD
163	9781166143909	APC	DE	USD
164	9781242336294	AAV	US	NZD
165	9781113654762	APC	CA	USD
166	9781847946300	AAW	FR	USD
167	9781169364783	APC	US	NZD
168	9781247130149	AAV	US	NZD
169	9781170529898	APC	FR	GBP
170	9782503529233	AAS	FR	USD
171	9781175552709	AAV	UK	EUR
172	9780595656707	APC	US	NZD
173	9781115313384	APC	FR	NZD
174	9781907429095	AAW	FR	EUR
175	9781434623133	AAV	UK	NZD
176	9781578518746	AA3	UK	USD
177	9781421510910	AAU	FR	USD
178	9781103433209	AAV	US	GBP
179	9780451529404	AAC	US	USD
180	9780802604354	ANB	FR	GBP
181	9781145982550	AAV	US	USD
182	9781147954326	AAV	UK	USD
183	9789626342268	AAC	FR	EUR
184	9781169146730	APC	US	GBP
185	9781555951252	AAC	FR	GBP
186	9783838113357	AAV	CA	USD
187	9781248015773	AAV	DE	EUR
188	9781247982755	AAV	CA	EUR
189	9783700140054	AAS	DE	USD
190	9780789318046	AAJ	US	GBP
191	9781933641317	AAC	US	USD
192	9781270283072	AAV	US	GBP
193	9781453555316	AAV	FR	EUR
194	9781440310294	AAC	UK	EUR
195	9781164910978	APC	UK	EUR
196	9781175668936	APC	UK	GBP
197	9780977461820	APC	UK	USD
198	9783540307082	KNV	US	NZD
199	9789004158252	AAN	UK	NZD
200	9780575086258	AAW	UK	GBP
201	9780007259786	AST	UK	EUR
202	9781144427373	AAV	UK	GBP
203	9781178046809	APC	US	EUR
204	9780912301730	AAE	CA	GBP
205	9783642073250	AAV	CA	NZD
206	9781148761848	AAV	UK	GBP
207	9781147199741	AAV	UK	USD
208	9781147060010	APC	FR	EUR
209	9781146263436	AAV	UK	USD
210	9780192754349	AOP	CA	NZD
211	9781441120205	AAS	UK	GBP
212	9781418448011	AAV	FR	USD
213	9780595002726	APC	US	NZD
214	9781140990840	AAV	DE	EUR
215	9780345485083	ABZ	CA	GBP
216	9781173311582	APC	DE	GBP
217	9781423812418	AAS	UK	USD
218	9781445507996	AAV	UK	NZD
219	9781144612069	AAV	UK	GBP
220	9780470573341	LIB	FR	USD
221	9780764933196	AAC	DE	NZD
222	9781419700804	AAS	CA	USD
223	9781104521011	APC	US	NZD
224	9780521045896	AAV	UK	EUR
225	9781113658449	APC	DE	NZD
226	9781179673066	AAV	FR	NZD
227	9781244108677	AAV	UK	USD
228	9781849052535	AAW	DE	EUR
229	9781271081691	AAV	CA	EUR
230	9780870703416	AAW	FR	USD
231	9781176085527	AAV	FR	GBP
232	9781142616908	AAV	CA	GBP
233	9781599614748	AAC	US	USD
234	9781161206760	APC	DE	GBP
235	9781165734009	APC	FR	GBP
236	9780470646465	AAZ	DE	GBP
237	9781170529478	APC	US	GBP
238	9780415552257	AAS	CA	EUR
239	9781244124820	AAV	FR	GBP
240	9783865365804	KNV	CA	USD
241	9781145125773	APC	DE	USD
242	9780806133607	AAS	DE	EUR
243	9781175159731	APC	CA	NZD
244	9780399533402	AAC	CA	EUR
245	9780380807154	KNV	US	USD
246	9781146747462	APC	US	NZD
247	9780385615242	AB9	CA	USD
248	9781149394502	APC	FR	NZD
249	9781161384369	APC	DE	NZD
250	9789814260367	AAE	UK	USD
251	9780548174371	APC	UK	EUR
252	9781172621613	AAV	DE	NZD
253	9783801715052	LIB	CA	GBP
254	9781149767412	APC	CA	GBP
255	9781175301314	APC	DE	GBP
256	9781115233521	AAV	FR	EUR
257	9781147476040	AAV	DE	GBP
258	9781144443847	APC	DE	NZD
259	9781141636747	AAV	CA	NZD
260	9780743483421	AAC	UK	NZD
261	9783894847142	KNV	UK	GBP
262	9781270003816	AAV	FR	USD
263	9780595133703	AAV	UK	EUR
264	9781144646675	AAV	UK	USD
265	9781843487128	AAU	UK	EUR
266	9781140859215	APC	US	GBP
267	9781147219760	AAV	UK	USD
268	9781598808995	AAC	FR	GBP
269	9780345476869	AAS	FR	EUR
270	9781117944715	APC	DE	NZD
271	9781144722072	APC	UK	NZD
272	9780521602419	AAU	CA	GBP
273	9781103328871	APC	CA	NZD
274	9780554398099	APC	US	EUR
275	9781845966744	AAZ	US	EUR
276	9781168908575	APC	FR	EUR
277	9781245371414	AAV	US	USD
278	9781423327998	AAS	US	EUR
279	9780811702423	AAS	FR	USD
280	9780415554701	AAE	CA	NZD
281	9781406214086	AA0	DE	EUR
282	9783127344431	KNV	UK	NZD
283	9781141216420	AAV	UK	USD
284	9783170188457	KNV	CA	EUR
285	9781162776736	APC	US	GBP
286	9781271975419	AAV	FR	NZD
287	9781241551216	AAV	FR	NZD
288	9781179529806	AAV	FR	USD
289	9781147028508	APC	FR	USD
290	9781148769523	AAV	FR	EUR
291	9780849326769	AA6	FR	NZD
292	9780762438020	AA9	UK	USD
293	9780130485069	AAC	UK	USD
294	9781243527172	AAV	DE	EUR
295	9789280811834	AAR	FR	NZD
296	9781405192156	AAH	CA	USD
297	9781849713320	AAS	FR	NZD
298	9781145479463	APC	FR	NZD
299	9781171891529	APC	FR	NZD
300	9781141966189	AAV	DE	USD
301	9781852390327	AAZ	UK	GBP
302	9781165257928	APC	CA	EUR
303	9781113225597	AAV	UK	GBP
304	9781172263134	AAV	FR	EUR
305	9781169848771	APC	DE	NZD
306	9780853698821	TS1	UK	EUR
307	9781141557974	APC	DE	USD
308	9781149313398	AAV	DE	USD
309	9781175755162	APC	US	GBP
310	9781103943098	APC	UK	EUR
311	9780253347336	AAW	US	NZD
312	9780595393640	AAV	CA	NZD
313	9780727865403	AA9	FR	GBP
314	9783642182716	KNV	CA	EUR
315	9781104942786	APC	FR	USD
316	9780689849541	AAC	US	EUR
317	9781113939081	APC	CA	USD
318	9781143000621	APC	DE	NZD
319	9781113848413	AAV	FR	NZD
320	9780664240288	AAV	US	NZD
321	9781146350716	AAV	US	NZD
322	9781110529544	APC	DE	EUR
323	9780741439895	APC	UK	EUR
324	9781144661081	AAV	UK	EUR
325	9789675395567	AAG	US	NZD
326	9781178858082	AAV	CA	EUR
327	9781272228606	AAV	CA	GBP
328	9781166727215	APC	FR	GBP
329	9781116104301	APC	FR	GBP
330	9783831290161	KNV	US	USD
331	9780684823423	APC	US	NZD
332	9781179793849	AAV	US	USD
333	9781588516381	AAV	FR	USD
334	9781247802527	AAV	CA	EUR
335	9781440170355	AAV	UK	EUR
336	9780554713441	APC	UK	EUR
337	9781144822383	AAV	CA	EUR
338	9780765349668	ABZ	UK	GBP
339	9781145880269	APC	US	NZD
340	9783760762715	LIB	DE	NZD
341	9781175121523	APC	UK	GBP
